"","rules","support","confidence","lift"
"1","{sex=F} => {higher=yes}",0.516455696202532,0.980769230769231,1.03307692307692
"2","{higher=yes} => {sex=F}",0.516455696202532,0.544,1.03307692307692
"3","{sex=F} => {failures=Less}",0.511392405063291,0.971153846153846,1.012152425411
"4","{failures=Less} => {sex=F}",0.511392405063291,0.532981530343008,1.012152425411
"5","{paid=no} => {failures=Less}",0.506329113924051,0.934579439252336,0.974033980223411
"6","{failures=Less} => {paid=no}",0.506329113924051,0.527704485488127,0.974033980223411
"7","{Fjob=other} => {higher=yes}",0.526582278481013,0.95852534562212,1.00964669738863
"8","{higher=yes} => {Fjob=other}",0.526582278481013,0.554666666666667,1.00964669738863
"9","{Fjob=other} => {failures=Less}",0.526582278481013,0.95852534562212,0.998990795569228
"10","{failures=Less} => {Fjob=other}",0.526582278481013,0.548812664907652,0.998990795569228
"11","{famsup=yes} => {internet=yes}",0.529113924050633,0.863636363636364,1.03688864327162
"12","{internet=yes} => {famsup=yes}",0.529113924050633,0.635258358662614,1.03688864327162
"13","{famsup=yes} => {schoolsup=no}",0.516455696202532,0.84297520661157,0.967951182010379
"14","{schoolsup=no} => {famsup=yes}",0.516455696202532,0.593023255813954,0.967951182010379
"15","{famsup=yes} => {school=GP}",0.567088607594937,0.925619834710744,1.04762130289611
"16","{school=GP} => {famsup=yes}",0.567088607594937,0.641833810888252,1.04762130289611
"17","{famsup=yes} => {Pstatus=T}",0.551898734177215,0.900826446280992,1.00515945277116
"18","{Pstatus=T} => {famsup=yes}",0.551898734177215,0.615819209039548,1.00515945277116
"19","{famsup=yes} => {higher=yes}",0.592405063291139,0.966942148760331,1.01851239669421
"20","{higher=yes} => {famsup=yes}",0.592405063291139,0.624,1.01851239669421
"21","{famsup=yes} => {failures=Less}",0.592405063291139,0.966942148760331,1.007762925489
"22","{failures=Less} => {famsup=yes}",0.592405063291139,0.617414248021108,1.007762925489
"23","{absences=Very Good} => {internet=yes}",0.50126582278481,0.811475409836066,0.97426378992476
